#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 09 13 00  61  8.5 10.2  2.10  8.33  5.56 999 1014.6  26.7  26.8  22.3 99.0 99.00
2007 01 09 14 00  59  9.0 10.1  2.03  8.33  5.34 999 1015.3  29.3  26.8  22.6 99.0 99.00
2007 01 09 15 00  66  7.9  9.9 99.00 99.00 99.00 999 1015.4  28.3  26.9  21.4 99.0 99.00
2007 01 09 16 00  57  8.4  9.8  2.10  7.69  5.29 999 1015.2  27.6  26.9  22.3 99.0 99.00
2007 01 09 17 00  59  7.3 10.2  2.10  7.69  5.12 999 1014.3  31.5  26.9  22.6 99.0 99.00
2007 01 09 18 00  64  8.1  9.4  1.90  7.69  4.65 999 1013.2  30.9  26.9  22.2 99.0 99.00
2007 01 09 19 00  68  7.7  8.8  1.98  6.67  4.96 999 1012.2  31.4  27.0  22.5 99.0 99.00
2007 01 09 20 00  69  7.7  9.1  1.85  7.69  4.75 999 1011.9  31.5  27.0  23.1 99.0 99.00
2007 01 09 21 00  67  7.4  8.8  1.94  7.14  4.72 999 1011.8  31.0  26.9  22.8 99.0 99.00
2007 01 09 22 00  61  7.8  9.0  1.85  7.69  4.49 999 1011.8  27.9  26.9 999.0 99.0 99.00
2007 01 10 00 00  64  7.7  9.0  1.73  6.25  4.79 999 1013.2  31.0  27.0  22.6 99.0 99.00
2007 01 10 01 00  65  8.1  9.3  1.52  7.69  4.31 999 1013.9  31.7  27.1  22.6 99.0 99.00
2007 01 10 02 00  61  7.9  8.7  1.44  6.67  4.36 999 1014.5  31.8  27.2  22.3 99.0 99.00
2007 01 10 03 00  59  7.4  8.9  1.40  7.14  4.37 999 1014.7  29.2  27.2  22.2 99.0 99.00
2007 01 10 04 00  56  7.0  8.0  1.32  7.14  4.30 999 1014.6  28.8  27.2  22.5 99.0 99.00
2007 01 10 05 00  55  7.0  8.3 99.00 99.00 99.00 999 1014.3  29.4  27.2  22.3 99.0 99.00
2007 01 10 06 00  56  6.8  7.9  1.33  7.69  4.46 999 1013.6  29.8  27.2  22.3 99.0 99.00
2007 01 10 07 00  44  7.3  8.6  1.18  5.88  4.44 999 1012.8  29.8  27.3  22.4 99.0 99.00
2007 01 10 08 00  79  3.6  4.9  1.23  6.67  4.57 999 1012.5  28.4  27.3  22.2 99.0 99.00
2007 01 10 09 00  65  7.7  8.9  1.28  7.14  4.52 999 1012.4  30.6  27.4  22.4 99.0 99.00
2007 01 10 10 00  62  7.7  9.2 99.00 99.00 99.00 999 1012.8  32.5  27.5  22.2 99.0 99.00
2007 01 10 11 00  60  7.5  8.8  1.29  7.14  4.29 999 1012.9  30.0  27.5  22.5 99.0 99.00
